,z_address,sales_price,sales_date,Lot_size,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,age,build_gen,zestimate,zindexvalue,zipcode,full_bath,other_bath,is_studio
81,1940 Buchanan St,1250000,01/29/2016,1851,1.0,3.0,1480.0,01/29/2016,1250000.0,37.788038,-122.430024,Lower Pacific Heights,5.0,Condominium,112.0,4.0,1574733.0,1178700,94115.0,1.0,0.0,0
82,2275 47th Ave,1225000,01/29/2016,2996,2.5,4.0,2193.0,01/29/2016,1225000.0,37.744067,-122.50618700000001,Outer Parkside,7.0,SingleFamily,54.0,10.0,1358925.0,981900,94116.0,2.0,0.5,0
83,988 Fulton St APT 326,555000,01/29/2016,41262,1.0,1.0,417.0,01/29/2016,555000.0,37.778034000000005,-122.43251000000001,Western Addition,5.0,Condominium,17.0,13.0,588432.0,983400,94117.0,1.0,0.0,0
84,487 19th Ave,1900000,01/29/2016,2063,4.0,4.0,2596.0,01/29/2016,1900000.0,37.778728,-122.478448,Central Richmond,9.0,SingleFamily,100.0,5.0,2102133.0,1485300,94121.0,4.0,0.0,0
85,448 Gold Mine Dr,1558000,01/29/2016,2935,3.0,4.0,2275.0,01/29/2016,1558000.0,37.739244,-122.4371,Diamond Heights,7.0,SingleFamily,48.0,10.0,1775216.0,1098500,94131.0,3.0,0.0,0
86,8200 Oceanview Ter APT 310,658000,01/29/2016,325629,2.0,2.0,969.0,01/29/2016,658000.0,37.71048,-122.46764499999999,Ingleside Heights,4.0,Condominium,14.0,14.0,629228.0,710500,94132.0,2.0,0.0,0
87,750 Delano Ave,738000,01/28/2016,1680,1.0,2.0,840.0,01/28/2016,738000.0,37.719505,-122.44575900000001,Outer Mission,4.0,SingleFamily,29.0,12.0,715379.0,814200,94112.0,1.0,0.0,0
88,5 Lobos St,950000,01/28/2016,5871,2.0,4.0,1726.0,01/28/2016,950000.0,37.714682,-122.452504,Oceanview,7.0,SingleFamily,42.0,11.0,939221.0,762700,94112.0,2.0,0.0,0
89,4524 Balboa St,961000,01/28/2016,3162,1.0,2.0,1200.0,01/28/2016,961000.0,37.775504,-122.50747700000001,Outer Richmond,5.0,SingleFamily,98.0,5.0,913987.0,1214000,94121.0,1.0,0.0,0
90,527 Randolph St,695500,01/28/2016,1973,1.0,2.0,950.0,01/28/2016,695500.0,37.714051,-122.467584,Ingleside Heights,4.0,SingleFamily,69.0,8.0,643848.0,710500,94132.0,1.0,0.0,0
91,1407 Montgomery St APT 2,976000,01/28/2016,2187,1.0,1.0,1028.0,01/28/2016,976000.0,37.802299,-122.404941,Telegraph Hill,3.0,Condominium,146.0,1.0,1044112.0,1238700,94133.0,1.0,0.0,0
92,574 Natoma St APT 102,502000,01/27/2016,0,1.0,0.0,376.0,01/27/2016,502000.0,37.779014000000004,-122.409446,South of Market,1.0,Condominium,4.0,15.0,513968.0,975700,94103.0,1.0,0.0,1
93,65 Bishop St,675000,01/27/2016,2500,1.0,3.0,800.0,01/27/2016,675000.0,37.718075,-122.404179,Visitacion Valley,4.0,SingleFamily,116.0,4.0,692286.0,707100,94134.0,1.0,0.0,0
94,701 Pennsylvania Ave # T13,850000,01/26/2016,7569,2.0,1.0,842.0,03/24/2015,640000.0,37.75738,-122.39283,Potrero Hill,2.0,Condominium,16.0,13.0,905401.0,1277600,94107.0,2.0,0.0,0
95,88 King St UNIT 1121,1650000,01/26/2016,82157,2.0,2.0,1111.0,01/26/2016,1650000.0,37.780117,-122.389648,South Beach,4.0,MultiFamily2To4,16.0,14.0,1376614.0,1286900,94107.0,2.0,0.0,0
96,57 Moneta Way,860000,01/26/2016,2339,1.0,4.0,1325.0,01/26/2016,860000.0,37.712918,-122.449446,Outer Mission,6.0,SingleFamily,87.0,6.0,932005.0,814200,94112.0,1.0,0.0,0
97,164 Seville St,1125000,01/26/2016,2421,3.0,3.0,2234.0,01/26/2016,1125000.0,37.711727,-122.43708500000001,Crocker Amazon,3.0,SingleFamily,92.0,6.0,917185.0,823000,94112.0,3.0,0.0,0
98,145-147 Alpine Ter,5100000,01/26/2016,3153,5.5,6.0,4749.0,01/26/2016,5100000.0,37.768186,-122.43714399999999,Buena Vista Park,10.0,SingleFamily,9.0,14.0,4791629.0,1500900,94117.0,5.0,0.5,0
99,3023 Broderick St,1800000,01/26/2016,2579,2.5,3.0,1591.0,01/26/2016,1800000.0,37.798244,-122.44452,Cow Hollow,9.0,Condominium,78.0,7.0,2145649.0,2151200,94123.0,2.0,0.5,0
100,4173 Cesar Chavez St,4500000,01/26/2016,2848,4.0,4.0,3480.0,01/26/2016,4500000.0,37.747091999999995,-122.43291200000002,Noe Valley,8.0,SingleFamily,116.0,4.0,2962385.0,1782000,94131.0,4.0,0.0,0
101,830 Alabama St # B,1370000,01/25/2016,0,2.0,3.0,1853.0,01/25/2016,1370000.0,37.75816,-122.41176499999999,Mission,9.0,Condominium,116.0,4.0,1642925.0,1185400,94110.0,2.0,0.0,0
102,95 Stoneyford Ave,910000,01/25/2016,2208,2.0,3.0,1400.0,01/25/2016,910000.0,37.729425,-122.42111000000001,Excelsior,6.0,SingleFamily,74.0,8.0,863116.0,767600,94112.0,2.0,0.0,0
103,518 Oak St,1475000,01/22/2016,1994,1.0,2.0,1105.0,01/22/2016,1475000.0,37.774467,-122.428491,Hayes Valley,6.0,SingleFamily,146.0,1.0,1365025.0,1224800,94102.0,1.0,0.0,0
104,1160 Mission St UNIT 1908,1475000,01/22/2016,43557,2.0,2.0,1201.0,01/22/2016,1475000.0,37.778705,-122.41263500000001,South of Market,4.0,Condominium,8.0,14.0,1418851.0,975700,94103.0,2.0,0.0,0
105,451 Kansas St UNIT 461,640000,01/22/2016,80311,1.0,0.0,450.0,01/22/2016,640000.0,37.764114,-122.402984,Potrero Hill,2.0,Condominium,9.0,14.0,631335.0,1277600,94107.0,1.0,0.0,1
106,2002 Pacific Ave APT 4,4200000,01/22/2016,5500,3.5,3.0,3291.0,01/22/2016,4200000.0,37.794429,-122.428513,Pacific Heights,7.0,Condominium,55.0,10.0,4163277.0,1910700,94109.0,3.0,0.5,0
107,554 Anderson St,920000,01/22/2016,1751,1.0,2.0,1015.0,01/22/2016,920000.0,37.736453999999995,-122.41559299999999,Bernal Heights,5.0,SingleFamily,106.0,5.0,738780.0,1248000,94110.0,1.0,0.0,0
108,566 S Van Ness Ave APT 9,945000,01/22/2016,12255,2.0,2.0,941.0,01/22/2016,945000.0,37.763992,-122.417823,Mission,5.0,Condominium,9.0,14.0,1000174.0,1185400,94110.0,2.0,0.0,0
109,624 Hampshire St,1250000,01/22/2016,2495,1.0,2.0,962.0,01/22/2016,1250000.0,37.761456,-122.40846100000002,Mission,5.0,SingleFamily,116.0,4.0,1082093.0,1185400,94110.0,1.0,0.0,0
110,40 Mirabel Ave,1530000,01/22/2016,1799,2.0,2.0,1393.0,01/22/2016,1530000.0,37.746247,-122.416564,Bernal Heights,6.0,SingleFamily,92.0,6.0,1481020.0,1248000,94110.0,2.0,0.0,0
111,712 Dorado Ter # 53,780000,01/22/2016,87122,2.5,2.0,1332.0,01/22/2016,780000.0,37.725575,-122.4616,Mount Davidson Manor,4.0,Condominium,31.0,12.0,773173.0,1378600,94112.0,2.0,0.5,0
112,264 Grand View Ave,1193000,01/22/2016,2495,1.0,1.0,590.0,01/22/2016,1193000.0,37.754001,-122.44148899999999,Twin Peaks,5.0,SingleFamily,109.0,4.0,1064070.0,1180100,94114.0,1.0,0.0,0
113,4450 24th St,1400000,01/22/2016,2945,3.0,4.0,2500.0,01/22/2016,1400000.0,37.751072,-122.44184299999999,Noe Valley,5.0,SingleFamily,116.0,4.0,2088377.0,1782000,94114.0,3.0,0.0,0
114,584-588 Sanchez St,2210000,01/22/2016,2625,4.0,4.0,2610.0,01/22/2016,2210000.0,37.759799,-122.43077,Eureka Valley - Dolores Heights - Castro,13.0,MultiFamily2To4,116.0,4.0,3230417.0,1744100,94114.0,4.0,0.0,0
115,300 Castro St,2400000,01/22/2016,4691,3.0,4.0,2451.0,01/22/2016,2400000.0,37.763918,-122.43561399999999,Corona Heights,12.0,Miscellaneous,116.0,4.0,2089411.0,1475100,94114.0,3.0,0.0,0
116,2319 39th Ave,890000,01/22/2016,2996,2.0,4.0,1362.0,01/22/2016,890000.0,37.743541,-122.497548,Outer Parkside,6.0,SingleFamily,61.0,9.0,1233120.0,981900,94116.0,2.0,0.0,0
